# The neutral compose corpus: 259 files, one per repository, sampled across 733.
# Every figure in docs/DOCKER-COMPAT.md and docs/RUNTIME-PARITY.md is measured on it.
# It is listed rather than vendored: the files are other people's, and a copy in this
# repo would be a redistribution nobody asked for. Each row is enough to fetch it back.
#
# THE COMMIT IS NOT PINNED. The corpus was sampled by repository and path, not by
# revision, so a file may have changed or vanished since. That is a real limit on
# reproducing these numbers exactly, and it is written here rather than discovered:
# the sha256 prefix of the bytes measured is the only thing that pins what was read.
#
# corpus-file	owner	repo	path-in-repo	sha256-16
l4vid4~EduAI~docker-compose.yml-old	l4vid4	EduAI	docker-compose.yml-old	2e85e7264d0c6724
lachouettecoop~chouette-odoo~docker-compose.yml.dev	lachouettecoop	chouette-odoo	docker-compose.yml.dev	a7279e44aa0df622
lazydune~ft_transcendence~docker-compose.yml	lazydune	ft_transcendence	docker-compose.yml	4d5b0df80ebf179d
leshicodes~lrclib-fetcher-ts~docker-compose.yml.sample	leshicodes	lrclib-fetcher-ts	docker-compose.yml.sample	da564999d19e7933
lglmoura~crud_aws_sample~docker-compose.yml	lglmoura	crud_aws_sample	docker-compose.yml	e027448dbeb99e6d
libis~rdm-integration~docker-compose.yml.dev	libis	rdm-integration	docker-compose.yml.dev	fac7cf801a97c5a5
link89~dataverse-docker~docker-compose.yml.dist	link89	dataverse-docker	docker-compose.yml.dist	8f31f043215cc440
lucamaraschi~untubo~docker-compose.yml.old	lucamaraschi	untubo	docker-compose.yml.old	1e225c6a97f5e675
lucasbalm~Fortify-LIM~docker-compose.yml	lucasbalm	Fortify-LIM	docker-compose.yml	9221adac9e651f49
luxfi~bundler~dockers~docker-compose.yml	luxfi	bundler	dockers/docker-compose.yml	5acaf7961fcc68ce
mFrank34~Home-Lab-Configs~Network~docker-compose.yml	mFrank34	Home-Lab-Configs	Network/docker-compose.yml	2e25fc18a2d1ce27
macv9620~py-pip~web-server~docker-compose.yml	macv9620	py-pip	web-server/docker-compose.yml	096c5a698270941d
magma-labs~magma-chat~docker-compose.yml.old	magma-labs	magma-chat	docker-compose.yml.old	d7fb8dc09b859b9f
malbiruk~artistpath~docker-compose.yml	malbiruk	artistpath	docker-compose.yml	7dc36472fdc47cd1
maliksari~django-iot-project~iot-tcp~docker-compose.yml	maliksari	django-iot-project	iot-tcp/docker-compose.yml	aa463104f620560c
mandeepsingh10~chwitter~docker-compose.yml-og	mandeepsingh10	chwitter	docker-compose.yml-og	9923ae2e7919f50a
mfigueroa-eafit~antivirus-backend-app~docker-compose.yml	mfigueroa-eafit	antivirus-backend-app	docker-compose.yml	55f6d8e6d7afbd32
mgarralda~hadoop-spark-cluster~docker-compose.yml.bck	mgarralda	hadoop-spark-cluster	docker-compose.yml.bck	cdf9908e0bb1b9d2
michalfapso~thingsboard_docker_https~docker-compose.yml.tb	michalfapso	thingsboard_docker_https	docker-compose.yml.tb	143447e83a4598fb
microservice-canvas~plantuml~docker-compose.yml	microservice-canvas	plantuml	docker-compose.yml	9d680c86d5a3fc48
minh10huy~pentest_mobileapp~docker-compose.yml.org	minh10huy	pentest_mobileapp	docker-compose.yml.org	232ba83c9e039545
minhng92~django-rest-example-docker~docker-compose.yml	minhng92	django-rest-example-docker	docker-compose.yml	425624ecc8c42393
msshashank1997~lab~docker-compose.yml	msshashank1997	lab	docker-compose.yml	19c5269515f2d9f4
mundodocker~exemplo-docker-compose~docker-compose.yml-bkp	mundodocker	exemplo-docker-compose	docker-compose.yml-bkp	a5cc5d57345842de
mustaphaamine1~MLflow-Dockerized-FastAPI-Project~docker-compose.yml	mustaphaamine1	MLflow-Dockerized-FastAPI-Project	docker-compose.yml	2643d7b45e3855bc
namboy94~progstats~docker-compose.yml	namboy94	progstats	docker-compose.yml	461d7d97862dd475
nhanrunandgo~inventory-cloud-project3~step2~docker-compose.yml	nhanrunandgo	inventory-cloud-project3	step2/docker-compose.yml	9ed0243384a99944
nihar245~ForgeDoo~backend~docker-compose.yml	nihar245	ForgeDoo	backend/docker-compose.yml	105130add9d6615e
nnn-gif~bundler~dockers~docker-compose.yml	nnn-gif	bundler	dockers/docker-compose.yml	5acaf7961fcc68ce
nssuwan186-dev~hotel-brain~docker-compose.yml	nssuwan186-dev	hotel-brain	docker-compose.yml	ec5f686b05ac5005
object2music~o2m~docker-compose.yml.ok	object2music	o2m	docker-compose.yml.ok	817e84e7c683fce8
ohjust~IPTV~docker-compose.yml.txt	ohjust	IPTV	docker-compose.yml.txt	4d12cda4baf79a86
onedeeper~classifier_endpoint~docker-compose.yml	onedeeper	classifier_endpoint	docker-compose.yml	1c0a9337f6546be0
open-data~opengov~html~modules~contrib~search_api_solr~jump-start~solr4~docker-compose.yml	open-data	opengov	html/modules/contrib/search_api_solr/jump-start/solr4/docker-compose.yml	9ea2338e20187b1b
oxiverse-labs~intentforge~docker-compose.yml.bak	oxiverse-labs	intentforge	docker-compose.yml.bak	93ec8c8aba558b78
p-stam001~umbrel-apps~seafile~docker-compose.yml	p-stam001	umbrel-apps	seafile/docker-compose.yml	0abe663a56db1190
pHAlkaline~phkapa~docker-compose.yml.dev	pHAlkaline	phkapa	docker-compose.yml.dev	078c185f1731586e
pHAlkaline~phkondo~docker-compose.yml.dev	pHAlkaline	phkondo	docker-compose.yml.dev	5364ad2f4f29022a
parthsantosh2411~AI_eCommerce_Chatbot~docker-compose.yml	parthsantosh2411	AI_eCommerce_Chatbot	docker-compose.yml	ef707497be4f23e2
petl-developers~petl~docker-compose.yml	petl-developers	petl	docker-compose.yml	47323c6f07645648
plamagnum~newac~docker-compose.yml	plamagnum	newac	docker-compose.yml	a0b94d7df8d8d2e4
pmsosa~Soundcloud-Spam-Analysis~docker-compose.yml.bak	pmsosa	Soundcloud-Spam-Analysis	docker-compose.yml.bak	2cf5e81ae173cc0c
pondix~docker-mysql-proxysql~docker-compose.yml.8.0	pondix	docker-mysql-proxysql	docker-compose.yml.8.0	6f93033fff0c5d35
rfjnv~grand-astra~docker-compose.yml	rfjnv	grand-astra	docker-compose.yml	36c426889bf41628
richardcort~FocusStack~docker-compose.yml	richardcort	FocusStack	docker-compose.yml	eaea770616a7d390
rin4ik~vContact~docker-compose.yml	rin4ik	vContact	docker-compose.yml	c0825c5248298740
rummannaqvi~xiiops-backend~docker-compose.yml	rummannaqvi	xiiops-backend	docker-compose.yml	3e84768696ed004b
sajjadium~ctf-archives~ctfs~BRICS+~2023~Quals~web~ChadGPT~docker-compose.yml	sajjadium	ctf-archives	ctfs/BRICS+/2023/Quals/web/ChadGPT/docker-compose.yml	43967f2f3f7e5a99
salmanoffical35~exam-proctoring~docker-compose.yml	salmanoffical35	exam-proctoring	docker-compose.yml	01b8562c3d0209e8
sayantanmukh050893~interior-design-site~docker-compose.yml	sayantanmukh050893	interior-design-site	docker-compose.yml	0793ef97d8c3c31a
shaffermc~synchronous-communication-platform~docker-compose.yml.bak	shaffermc	synchronous-communication-platform	docker-compose.yml.bak	4034dd307684d627
shyim~cloud-dev~docker-compose.yml.dist	shyim	cloud-dev	docker-compose.yml.dist	add0e74d9261c5ea
sibsankarb4~DevOps-Docker-Jenkins-GIT-CI-Pipeline-and-Maven~docker-compose.yml.txt	sibsankarb4	DevOps-Docker-Jenkins-GIT-CI-Pipeline-and-Maven	docker-compose.yml.txt	58eba993c761d673
sky-sharma~docker-react~docker-compose.yml	sky-sharma	docker-react	docker-compose.yml	b4925441724bbc2a
smlx~test-php-fpm-graceful-exit~docker-compose.yml	smlx	test-php-fpm-graceful-exit	docker-compose.yml	bcc6dafdd9f606ef
stackroute~quizart-analytics~docker-compose.yml.back	stackroute	quizart-analytics	docker-compose.yml.back	1f8eb387adce0cca
stackroute~quizart-social~docker-compose.yml.back	stackroute	quizart-social	docker-compose.yml.back	1f8eb387adce0cca
steedos~docker~ee~node-red~docker-compose.yml	steedos	docker	ee/node-red/docker-compose.yml	5d72e20862ea6ae7
studoo-app~ecole-directe-api~docker-compose.yml	studoo-app	ecole-directe-api	docker-compose.yml	9629be681499749d
svitorz~meetingfaces~docker-compose.yml	svitorz	meetingfaces	docker-compose.yml	5f4e2ad9cf03ed4a
swipswaps~lecds-preview~docker-compose.yml	swipswaps	lecds-preview	docker-compose.yml	1976cfad8f83c91a
tabordasolutions~nics-docker~build-docker-compose.yml	tabordasolutions	nics-docker	build-docker-compose.yml	dd13f8871ce39182
takahiroaoki~to-do-app~docker-compose.yml	takahiroaoki	to-do-app	docker-compose.yml	4fcdd37a567f0976
tangfeixiong~go-to-docker~docker-compose.yml.sed	tangfeixiong	go-to-docker	docker-compose.yml.sed	ad880f96d7ba061e
tasken~dsi-wifi-manager~docker-compose.yml	tasken	dsi-wifi-manager	docker-compose.yml	05e7ec74e1ead539
tdenmon~rust-api-server~docker-compose.yml	tdenmon	rust-api-server	docker-compose.yml	7abb5ba158657dc8
tjmt~docker-cd~docs~docker-compose.yml.md	tjmt	docker-cd	docs/docker-compose.yml.md	9e7ea1f2981ac552
tzolov~playground-flight-booking~docker-compose.yml-old	tzolov	playground-flight-booking	docker-compose.yml-old	2e85e7264d0c6724
ujjwal-dahal~agent-rag-ai-assistant~docker-compose.yml	ujjwal-dahal	agent-rag-ai-assistant	docker-compose.yml	bd4062e932c9fd48
ultimate-pa~hanfor~docker-compose.yml.dist	ultimate-pa	hanfor	docker-compose.yml.dist	b88cf361c0a57766
unicornultrafoundation~aa-bundler~dockers~docker-compose.yml	unicornultrafoundation	aa-bundler	dockers/docker-compose.yml	5acaf7961fcc68ce
vladalexz~ETL_PROJECT~docker-compose.yml	vladalexz	ETL_PROJECT	docker-compose.yml	fe10c7bcc65ef5c2
vr-varad~TechTower~docker~docker-compose.yml	vr-varad	TechTower	docker/docker-compose.yml	889f281b4957cc79
weblab-technology~graphql-example~docker-compose.yml	weblab-technology	graphql-example	docker-compose.yml	476d446d3ac4ee11
wgd3~full-stack-todo~docker-compose.yml	wgd3	full-stack-todo	docker-compose.yml	9effd15c3e1b76cc
whyrulike~wechat-alert~docker-compose.yml	whyrulike	wechat-alert	docker-compose.yml	8b39da1bda01d3b0
worldia~textmaster-api~docker-compose.yml.dist	worldia	textmaster-api	docker-compose.yml.dist	5cf42952aa1ccf7d
wzean~news-ai-agent~docker-compose.yml	wzean	news-ai-agent	docker-compose.yml	a803c5cc7dd4d0ad
xgodon~RIG~dockerized-apps~dokuwiki~docker-compose.yml	xgodon	RIG	dockerized-apps/dokuwiki/docker-compose.yml	f6aed91d9d0f46e5
xiaopeng163~twittor~docker-compose.yml.dev	xiaopeng163	twittor	docker-compose.yml.dev	e3ed976cdb684dd0
xurenlu~sslcat~internal~runner~templates~builtin~nodebb~docker-compose.yml	xurenlu	sslcat	internal/runner/templates/builtin/nodebb/docker-compose.yml	6bd3df290fce1aa4
younghyen7956~image-search~docker-compose.yml	younghyen7956	image-search	docker-compose.yml	5d1d1607c15d86f9
ysmnikhil~portfolio~strapi~docker-compose.yml	ysmnikhil	portfolio	strapi/docker-compose.yml	80f197c9e0f6b996
zhilanazmi~portfolio-reactjs-v2~docker-compose.yml	zhilanazmi	portfolio-reactjs-v2	docker-compose.yml	09d882721214993c
zhongwenrong~dnmp~docker-compose.yml.bak	zhongwenrong	dnmp	docker-compose.yml.bak	5403bb73afac639b
zooniverse~alice~docker-compose.yml	zooniverse	alice	docker-compose.yml	0a1934f19233baab
zuzu59~docker-influxdb-grafana~docker-compose.yml.sav	zuzu59	docker-influxdb-grafana	docker-compose.yml.sav	90ed9ab74bc70199
